id_paciente,nombre,especie,raza,fecha_nac,id_propietario,activo
P001,Firulais,Perro,Labrador,2019-04-12,C001,True
P002,Michi,Gato,Siamés,2021-07-03,C002,True
P003,Coco,Perro,Beagle,2018-11-20,C001,False
P004,Nube,Conejo,Angora,2022-02-14,C003,True
P005,Rex,Perro,Pastor Alemán,2020-09-08,C004,True
P006,Luna,Gato,Persa,2023-01-17,C005,True
P007,Pipo,Perro,Poodle,2017-06-30,C002,True
P008,Bambú,Ave,Cacatúa,2021-03-22,C006,True
P009,Tortu,Tortuga,Rusa,2015-08-10,C007,True
P010,Simba,Gato,Bengalí,2022-11-05,C008,True
P011,Rocky,Perro,Bulldog Francés,2020-03-14,C009,True
P012,Bella,Perro,Golden Retriever,2019-07-22,C010,True
P013,Kira,Gato,Maine Coon,2023-04-01,C008,True
P014,Tito,Ave,Loro,2018-05-30,C011,True
P015,Manchas,Perro,Dálmata,2021-09-18,C009,False
P016,Nemo,Pez,Betta,2023-02-28,C012,True
P017,Canela,Perro,Cocker Spaniel,2020-12-01,C007,True
P018,Zeus,Perro,Rottweiler,2018-08-15,C011,True