id_producto,nombre,categoria,unidades,precio_unit,vencimiento,proveedor
PRD001,Amoxicilina 250mg,Antibiótico,120,850,2026-06-30,VetFarma SA
PRD002,Meloxicam 2mg,Antiinflamatorio,85,1200,2026-09-15,BioVet SRL
PRD003,Ivermectina 1%,Antiparasitario,60,950,2026-03-20,VetFarma SA
PRD004,Frontline Spray,Antiparasitario,40,3500,2027-01-10,MediAnimal
PRD005,Suero fisiológico 1L,Solución,200,400,2026-12-01,BioVet SRL
PRD006,Ketamina 10%,Anestésico,25,5800,2026-05-01,MediAnimal
PRD007,Enrofloxacina 50mg,Antibiótico,45,1100,2026-08-20,VetFarma SA
PRD008,Dexametasona 2mg,Antiinflamatorio,38,980,2026-07-15,BioVet SRL
PRD009,Praziquantel 50mg,Antiparasitario,70,750,2026-11-30,VetFarma SA
PRD010,Propofol 10mg/ml,Anestésico,20,7200,2026-04-10,MediAnimal
PRD011,Cefalexina 500mg,Antibiótico,90,1350,2026-10-05,BioVet SRL
PRD012,Carprofeno 50mg,Antiinflamatorio,42,1600,2027-02-28,MediAnimal
PRD013,Metronidazol 250mg,Antibiótico,30,820,2026-06-15,VetFarma SA
PRD014,Furosemida 40mg,Diurético,55,690,2026-09-01,BioVet SRL
PRD015,Tramadol 50mg,Analgésico,28,2100,2026-07-20,MediAnimal
PRD016,Vitamina B12,Suplemento,110,450,2027-03-15,VetFarma SA